Name,Ref,Type,SourceSchema
Address		AddressType	amzn-base.xsd
Name		StringNotNull	amzn-base.xsd
FormalTitle			amzn-base.xsd
GivenName		String	amzn-base.xsd
FamilyName		String	amzn-base.xsd
AddressFieldOne		AddressLine	amzn-base.xsd
AddressFieldTwo		AddressLine	amzn-base.xsd
AddressFieldThree		AddressLine	amzn-base.xsd
City		String	amzn-base.xsd
County		String	amzn-base.xsd
StateOrRegion		String	amzn-base.xsd
PostalCode		String	amzn-base.xsd
CountryCode			amzn-base.xsd
PhoneNumber		String	amzn-base.xsd
isDefaultShipping		xsd:boolean	amzn-base.xsd
isDefaultBilling		xsd:boolean	amzn-base.xsd
isDefaultOneClick		xsd:boolean	amzn-base.xsd
DistrictOrCounty		String	amzn-base.xsd
Fee			amzn-base.xsd
Type			amzn-base.xsd
Amount		CurrencyAmount	amzn-base.xsd
Battery			amzn-base.xsd
AreBatteriesIncluded		xsd:boolean	amzn-base.xsd
AreBatteriesRequired		xsd:boolean	amzn-base.xsd
BatterySubgroup			amzn-base.xsd
BatteryType			amzn-base.xsd
NumberOfBatteries		xsd:positiveInteger	amzn-base.xsd
Component			amzn-base.xsd
StartDate		xsd:dateTime	amzn-base.xsd
EndDate		xsd:dateTime	amzn-base.xsd
Price		CurrencyAmount	amzn-base.xsd
PreviousPrice		CurrencyAmount	amzn-base.xsd
CompareAtPrice		CurrencyAmount	amzn-base.xsd
FulfillmentCenterID		String	amzn-base.xsd
FulfillmentMethod			amzn-base.xsd
FulfillmentServiceLevel			amzn-base.xsd
CarrierCode			amzn-base.xsd
ShipOption			amzn-base.xsd
MarketplaceName		StringNotNull	amzn-base.xsd
ExternalCustomerID		HundredString	amzn-base.xsd
MerchantOrderID		String	amzn-base.xsd
MerchantOrderItemID		String	amzn-base.xsd
MerchantFulfillmentID		TwentyStringNotNull	amzn-base.xsd
ShipmentID		String	amzn-base.xsd
MerchantPromotionID			amzn-base.xsd
AmazonOrderID			amzn-base.xsd
AmazonOrderItemCode			amzn-base.xsd
AmazonCustomerID		HundredString	amzn-base.xsd
StandardProductID			amzn-base.xsd
Value		LongString	amzn-base.xsd
RelatedProductID			amzn-base.xsd
ProductTaxCode		StringNotNull	amzn-base.xsd
PromotionClaimCode			amzn-base.xsd
SKU		SKUType	amzn-base.xsd
ConditionNote		TwoThousandString	amzn-base.xsd
ConditionType			amzn-base.xsd
Data		LongString	amzn-base.xsd
ComputerPlatform			amzn-base.xsd
SystemRequirements		LongStringNotNull	amzn-base.xsd
RebateStartDate		xsd:dateTime	amzn-base.xsd
RebateEndDate		xsd:dateTime	amzn-base.xsd
RebateMessage		TwoFiftyStringNotNull	amzn-base.xsd
RebateName		FortyStringNotNull	amzn-base.xsd
ColorSpecification			amzn-base.xsd
Color		StringNotNull	Beauty.xsd
ColorMap		StringNotNull	Beauty.xsd
Denomination			amzn-base.xsd
DeliveryChannel			amzn-base.xsd
Email		EmailAddressType	amzn-base.xsd
BirthDate		xsd:date	amzn-base.xsd
CustomerAddress		AddressType	amzn-base.xsd
MaximumWeightRecommendation		PositiveWeightDimension	amzn-base.xsd
MinimumWeightRecommendation		PositiveWeightDimension	amzn-base.xsd
CharacterData		CharacterDataType	amzn-base.xsd
EffectiveTimestamp		xsd:dateTime	amzn-base.xsd
Plugin		xsd:string	amzn-base.xsd
AdditionalMessageDiscriminator		xsd:string	amzn-base.xsd
Payload		xsd:string	amzn-base.xsd
Recall			amzn-base.xsd
IsRecalled		xsd:boolean	amzn-base.xsd
RecallDescription			amzn-base.xsd
AgeRecommendation			amzn-base.xsd
MinimumManufacturerAgeRecommended		MinimumAgeRecommendedDimension	amzn-base.xsd
